Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
563 /sn/app/CustomView/PrepareColumnsAdnDataField,1,42,42,42,42,42,42,42,0.000%,23.80952,230.26,29.48
564 /sn/app/CustomView/GetViewData,1,42759,42759,42759,42759,42759,42759,42759,0.000%,.02339,1.25,0.03
565 /sn/app/CustomView/GetViewData,1,43854,43854,43854,43854,43854,43854,43854,0.000%,.02280,1.22,0.03
566 /sn/app/CRMNextObject/Edit/Case,1,1171,1171,1171,1171,1171,1171,1171,0.000%,.85397,77.02,0.92
567 /sn/app/CRMNextCache/CustomNavigation,1,21,21,21,21,21,21,21,0.000%,47.61905,65.06,52.04
568 /sn/app/CRMNextCache/GetTeamTree,1,18,18,18,18,18,18,18,0.000%,55.55556,124.89,58.65
Opencaseedit,1,88191,88191,88191,88191,88191,88191,88191,0.000%,.00479,1.01,0.04
569 /sn/app/AutoFlow/FireTrigger?command=btnSave_-1_324615_cde86c53-b3a3-4d09-8240-fdc1aeed0b66&isSaveNew=false&isEndCall=false&isPopupWindow=0&isPrompted=0&IsAutoSave=undefined&initialStatusCodeId=100038&isfreeflowsave=false&IsSaveandcontinue=false,1,9312,9312,9312,9312,9312,9312,9312,0.000%,.10739,2.40,4.24
570 /sn/app/crmnextobject/detail/Case,1,824,824,824,824,824,824,824,0.000%,1.21359,25.94,1.40
571 /sn/app/CRMNextCache/CustomNavigation,1,19,19,19,19,19,19,19,0.000%,52.63158,71.91,55.92
572 /sn/app/CRMNextCache/GetTeamTree,1,16,16,16,16,16,16,16,0.000%,62.50000,140.50,64.15
573 /sn/app/login/logout,1,53,53,53,53,53,53,53,0.000%,18.86792,116.03,37.39
574 /sn/app/login/login,1,15,15,15,15,15,15,15,0.000%,66.66667,356.97,65.30
Logoutwithgrv,1,68,68,68,68,68,68,68,0.000%,.03914,0.45,0.12
TOTAL,100,2463,42,1831,9095,43854,3,88191,0.000%,.19056,3.24,0.89
